City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
267,namatanai,98,PG,1590356638,75,-3.67,152.43,82.67,3.33
268,nuuk,33,GL,1590356638,86,64.18,-51.72,33.8,13.87
269,yulara,100,AU,1590356605,65,-25.24,130.99,46.4,5.82
270,osakarovka,0,KZ,1590356640,47,50.56,72.57,69.94,5.5
271,antofagasta,20,CL,1590356640,77,-23.65,-70.4,59.0,10.29
272,haines junction,75,CA,1590356640,50,60.75,-137.51,55.0,14.47
273,geraldton,75,AU,1590356420,72,-28.77,114.6,64.4,26.4
274,halifax,51,CA,1590356404,26,44.65,-63.57,59.0,1.99
275,treinta y tres,100,UY,1590356641,76,-33.23,-54.38,53.19,13.94
276,biryusinsk,7,RU,1590356641,73,55.96,97.82,56.82,5.03
277,salalah,40,OM,1590356642,84,17.02,54.09,86.0,3.36
278,sorong,29,ID,1590356642,86,-0.88,131.25,78.98,6.02
279,nevesinje,1,BA,1590356642,87,43.26,18.11,44.13,9.55
280,kihei,40,US,1590356485,51,20.79,-156.47,84.2,16.11
281,praia da vitoria,40,PT,1590356643,88,38.73,-27.07,66.2,7.92
282,piacabucu,1,BR,1590356643,84,-10.41,-36.43,77.92,8.46
283,kemijarvi,99,FI,1590356643,78,66.71,27.43,43.59,3.29
284,oudtshoorn,72,ZA,1590356644,87,-33.59,22.2,53.6,2.24
285,santa cruz cabralia,75,BR,1590356644,83,-16.28,-39.02,78.8,6.93
286,presidente medici,100,BR,1590356644,84,-11.18,-61.9,67.24,1.28
287,sao felix do xingu,13,BR,1590356644,82,-6.64,-51.99,77.49,2.51
288,longyearbyen,75,SJ,1590356645,60,78.22,15.64,41.0,11.41
289,kalianget,27,ID,1590356645,82,-7.05,113.93,81.01,2.51
290,fairbanks,90,US,1590356402,51,64.84,-147.72,60.8,4.7
291,zubova polyana,84,RU,1590356645,93,54.08,42.84,43.34,4.83
292,camargo,0,MX,1590356646,10,27.67,-105.17,91.17,11.32
293,corinto,0,GR,1590356646,65,37.94,22.96,66.99,1.01
294,caravelas,0,BR,1590356646,93,-17.71,-39.25,74.77,3.11
295,ouallam,24,NE,1590356646,22,14.32,2.09,92.64,3.04
296,ahipara,100,NZ,1590356647,91,-35.17,173.17,65.8,10.56
297,south lake tahoe,1,US,1590356378,25,38.93,-119.98,73.4,9.17
298,sambava,0,MG,1590356647,84,-14.27,50.17,69.93,10.71
299,singaparna,42,ID,1590356648,87,-7.35,108.11,72.18,2.19
300,surovikino,45,RU,1590356648,79,48.61,42.85,48.2,4.97
301,shelton,1,US,1590356649,67,41.32,-73.09,68.0,10.29
302,indian head,90,US,1590356649,77,38.6,-77.16,66.0,5.82
303,kargasok,98,RU,1590356650,64,59.06,80.86,57.42,5.12
304,berlevag,59,NO,1590356650,87,70.86,29.09,43.79,18.52
305,port lincoln,72,AU,1590356496,72,-34.73,135.87,52.25,4.94
306,cabra,100,ES,1590356651,44,37.47,-4.44,73.99,6.15
307,inuvik,5,CA,1590356651,59,68.35,-133.72,55.4,12.75
308,mahebourg,40,MU,1590356651,88,-20.41,57.7,69.8,3.36
309,vardo,88,NO,1590356651,92,70.37,31.11,42.8,6.93
310,kondinskoye,88,RU,1590356652,95,59.65,67.41,48.74,5.23
311,teguldet,98,RU,1590356652,96,57.31,88.17,52.02,3.76
312,rocha,75,UY,1590356652,55,-34.48,-54.33,56.55,13.49
313,vysokogornyy,67,RU,1590356652,73,50.12,139.15,43.81,4.09
314,carol stream,1,US,1590356653,48,41.91,-88.13,90.0,3.36
315,coquimbo,75,CL,1590356653,93,-29.95,-71.34,53.6,10.29
316,tuatapere,96,NZ,1590356653,90,-46.13,167.68,50.4,4.16
317,todos santos,0,MX,1590356653,76,23.45,-110.22,68.0,8.01
318,acapulco,20,MX,1590356473,70,16.86,-99.89,84.2,13.87
319,vila velha,20,BR,1590356654,83,-20.33,-40.29,78.8,3.36
320,key west,75,US,1590356411,70,24.56,-81.78,87.8,13.87
321,flinders,100,AU,1590356654,80,-34.58,150.86,55.99,7.0
322,plettenberg bay,57,ZA,1590356655,78,-34.05,23.37,57.33,2.93
323,umm kaddadah,96,SD,1590356655,21,13.6,26.69,96.71,8.55
324,acobamba,96,PE,1590356655,69,-11.35,-75.66,54.41,4.85
325,miranda,75,CO,1590356656,55,3.25,-76.23,87.8,9.17
326,asau,48,RO,1590356656,88,46.43,26.4,48.0,6.04
327,arlit,84,NE,1590356656,19,18.74,7.39,94.42,10.18
328,mao,12,ES,1590356535,63,39.89,4.27,62.6,1.12
329,muli,100,MV,1590356656,79,2.92,73.57,84.56,19.1
330,houma,40,US,1590356657,62,29.6,-90.72,88.0,13.87
331,kalabo,16,ZM,1590356657,48,-14.97,22.68,61.23,5.53
332,kuandian,36,CN,1590356499,84,40.73,124.78,55.4,0.89
333,mufulira,0,ZM,1590356658,75,-12.55,28.24,56.61,4.36
334,damaturu,100,NG,1590356658,48,11.75,11.96,86.77,14.61
335,belebey,56,RU,1590356658,91,54.12,54.12,50.31,6.49
336,novoseleznevo,26,RU,1590356659,73,55.68,69.21,67.8,5.37
337,yerofey pavlovich,19,RU,1590356659,60,53.97,121.97,51.44,6.22
338,camacupa,25,AO,1590356659,57,-12.02,17.48,60.31,3.6
339,bandar-e lengeh,5,IR,1590356660,74,26.56,54.88,82.4,4.74
340,palasa,13,IN,1590356660,87,18.77,84.42,81.7,11.12
341,coihaique,20,CL,1590356660,70,-45.58,-72.07,46.4,3.36
342,kavieng,74,PG,1590356660,75,-2.57,150.8,83.05,4.05
343,marsh harbour,100,BS,1590356661,78,26.54,-77.06,77.61,16.04
